,month,hour,T,P,P0,CO,NO2,O3,PM10,PM25,SO2
month,1.0,0.0004949422854000346,0.1668057940139172,0.14370715280006358,0.15490733624971278,-0.14895724932986032,-0.03462533666507331,-0.07595878724623745,-0.04035619208049961,-0.04503757397329851,-0.036745278322725984
hour,0.0004949422854000346,1.0,0.1680415115597773,-0.016994208490307756,-0.008467465036837776,0.0639731627591392,0.157642429227881,0.12737640570909448,0.03961147304613061,0.005647301591838234,0.045586995455504147
T,0.1668057940139172,0.1680415115597773,1.0,-0.3087469580572291,-0.26038706464099814,-0.45032011285094237,-0.09258664400943235,0.48148386688404576,-0.39321114953039815,-0.5093225287923316,-0.046272445962364205
P,0.14370715280006358,-0.016994208490307756,-0.3087469580572291,1.0,0.9987122599058814,0.2272993968715812,0.057303752676668755,-0.12437142800683702,0.32243416502535593,0.35222530499423976,-0.039354031732889434
P0,0.15490733624971278,-0.008467465036837776,-0.26038706464099814,0.9987122599058814,1.0,0.20600020014378628,0.053564836611489364,-0.10046166387814462,0.3067796615046776,0.3309918580293673,-0.0424971726791056
CO,-0.14895724932986032,0.0639731627591392,-0.45032011285094237,0.2272993968715812,0.20600020014378628,1.0,0.36505199436996927,-0.3617033807138112,0.6706366810341611,0.6930297919318762,0.27941078306094963
NO2,-0.03462533666507331,0.157642429227881,-0.09258664400943235,0.057303752676668755,0.053564836611489364,0.36505199436996927,1.0,-0.2909233235298463,0.29578079355600306,0.2627941657366727,0.07025411348148072
O3,-0.07595878724623745,0.12737640570909448,0.48148386688404576,-0.12437142800683702,-0.10046166387814462,-0.3617033807138112,-0.2909233235298463,1.0,-0.32688739629988245,-0.3953983953760789,0.033184943370862974
PM10,-0.04035619208049961,0.03961147304613061,-0.39321114953039815,0.32243416502535593,0.3067796615046776,0.6706366810341611,0.29578079355600306,-0.32688739629988245,1.0,0.9560438074102965,0.06940838726746894
PM25,-0.04503757397329851,0.005647301591838234,-0.5093225287923316,0.35222530499423976,0.3309918580293673,0.6930297919318762,0.2627941657366727,-0.3953983953760789,0.9560438074102965,1.0,0.03745172002129652
SO2,-0.036745278322725984,0.045586995455504147,-0.046272445962364205,-0.039354031732889434,-0.0424971726791056,0.27941078306094963,0.07025411348148072,0.033184943370862974,0.06940838726746894,0.03745172002129652,1.0
