month,B,CO,NO2,O3,PM10,PM25,SO2,AQI
1,7.511497975708493,0.7184931506849314,30.41081967213114,19.23090287277703,48.05656334231803,46.28454177897576,9.243912448700415,77.1409029649596
2,5.240044843049323,0.7361875945537059,31.150711043872985,25.957443267776096,52.26034328358207,46.20744776119403,10.195461422087753,77.0124129353234
3,3.465691056910575,0.5877366255144035,32.0651851851852,38.14529492455418,33.796725304465504,27.092246278755056,10.133100137174212,45.153743797925095
4,2.220111888111887,0.5792927864214997,21.447595473833093,45.861513437057994,30.13195258019525,22.554463040446297,9.791765536723178,45.861513437057994
5,1.2822868741542621,0.5478767123287667,16.77556164383562,34.23672676837722,8.153472972972985,7.400891891891891,11.347082191780823,34.23672676837722
6,1.0092061281337057,0.4061386138613856,14.228531073446332,37.899291784702584,0.48370370370370347,0.40985185185185175,9.677063953488366,37.899291784702584
7,0.9856216216216218,0.20631868131868103,17.664016282225237,48.59535714285718,27.745,19.165499999999998,8.402154471544712,48.59535714285718
8,1.13776119402985,0.2557634112792293,14.417425068119902,53.01469050894076,30.305535956580798,14.714884667571226,11.136675749318806,53.01469050894076
9,1.3997071129707135,0.3167090395480226,25.91899717514125,36.71608757062149,30.819094707520875,17.04405292479109,12.037949080622353,36.71608757062149
10,3.450895522388062,0.5313480055020638,41.59713892709766,23.17574965612104,58.15905149051492,44.44528455284558,18.68645604395606,74.07547425474263
11,1.9670985915492931,0.32077586206896624,19.497525179856105,24.584670487106024,21.748537271448676,17.623305203938127,12.157040229885071,29.37217533989688
12,5.151185983827493,0.9367349726775966,32.17121584699451,13.330286885245902,52.46874831763123,45.99947510094213,8.179877049180332,76.66579183490354
